iter	MultiClass
206	0.6034411164
207	0.603158687
208	0.6027036357
209	0.6026094057
210	0.60247607
211	0.6024185969
212	0.6022070322
213	0.6021395903
214	0.6020525222
215	0.6018616702
216	0.6017402385
217	0.6013688291
218	0.6012419755
219	0.6009543269
220	0.6008859204
221	0.6006898431
222	0.6006012612
223	0.6004833459
224	0.6004647657
225	0.6003150619
226	0.6000998258
227	0.5999191754
228	0.5998669827
229	0.5996780844
230	0.5994948407
231	0.5994658944
232	0.5991104513
233	0.5986832086
234	0.5985910903
235	0.5983702397
236	0.5981682909
237	0.5981371076
238	0.5980038115
239	0.5978806571
240	0.5975163897
241	0.5974946192
242	0.5970589524
243	0.5969791857
244	0.5966773801
245	0.5964695745
246	0.5961850673
247	0.5961682521
248	0.596143399
249	0.5960754729
250	0.5957465548
251	0.5956579285
252	0.5956058154
253	0.5953541252
254	0.5952327214
255	0.5949866265
256	0.5947884474
257	0.5945574693
258	0.5944371066
259	0.5942783359
260	0.5939372766
261	0.5936646422
262	0.5932594037
263	0.5931091894
264	0.5930736491
265	0.5928734907
266	0.592859139
267	0.5928263252
268	0.592660229
269	0.5925114654
270	0.5923214889
271	0.5921983114
272	0.5917766893
273	0.5916510034
274	0.5915896654
275	0.5915472392
276	0.5912216556
277	0.5909617946
278	0.5908934552
279	0.5907879237
280	0.5904550803
281	0.5899746642
282	0.5898906597
283	0.5896206992
284	0.5891071418
285	0.5887151059
286	0.5884009623
287	0.5882730887
288	0.5882032881
289	0.5880661466
290	0.587945591
291	0.587934847
292	0.587789284
293	0.5877747015
294	0.5877324768
295	0.5875792302
296	0.5873013964
297	0.5871369633
298	0.587087867
299	0.5868449201
300	0.5866421158
301	0.5866215756
302	0.5864773855
303	0.5864329122
304	0.5863024441
305	0.5860321502
306	0.5859680774
307	0.5856452075
308	0.5853848814
309	0.5852801777
310	0.5852648589
311	0.5849660293
312	0.5849420023
313	0.5849202827
314	0.5847296072
315	0.5845502503
316	0.584395101
317	0.5841950105
318	0.5840997285
319	0.5840495371
320	0.5839363807
321	0.5838629529
322	0.5838395422
323	0.5836576089
324	0.5835868377
325	0.5834417296
326	0.5832265691
327	0.5831614405
328	0.5831253421
329	0.5830585789
330	0.5830103173
331	0.5829251083
332	0.5828632291
333	0.5827253805
334	0.582700321
335	0.5825647822
336	0.5824657134
337	0.5824301079
338	0.582356356
339	0.5823321447
340	0.5823073784
341	0.582170605
342	0.5817061821
343	0.581638633
344	0.5815739444
345	0.5815368915
346	0.5814681445
347	0.5814035641
348	0.5813044483
349	0.5811557123
350	0.5811133444
351	0.5806926937
352	0.5806812034
353	0.5804934975
354	0.5802786875
355	0.5797687385
356	0.5797585482
357	0.5795982715
358	0.5795102946
359	0.5793460782
360	0.5792150649
361	0.5791099579
362	0.5790225309
363	0.57899951
364	0.5787444235
365	0.5787348442
366	0.5785108171
367	0.5782012099
368	0.5780968874
369	0.5779162264
370	0.5778136511
371	0.5776507937
372	0.5775552309
373	0.5774977645
374	0.5774436138
375	0.5773520169
376	0.5771653319
377	0.5771371192
378	0.5770001592
379	0.5767647146
380	0.576576812
381	0.5764726037
382	0.5763881271
383	0.5760838379
384	0.5758342175
385	0.5756373703
386	0.5754308503
387	0.5754163604
388	0.5752392967
389	0.5752192685
390	0.5750524468
391	0.5748579242
392	0.5748182159
393	0.5747888955
394	0.5747384364
395	0.5746786945
396	0.574496615
397	0.574422781
398	0.5743927493
399	0.5743723102
400	0.5741770434
401	0.5738443383
402	0.5733104813
403	0.5730457921
404	0.5728060151
405	0.5727927275
406	0.5727208339
407	0.5724477223
408	0.5721606217
409	0.5721529256
410	0.5719411961
411	0.571774196
412	0.5717350178
413	0.5715335407
414	0.5715264869
415	0.5715145953
416	0.5711354042
417	0.5710233037
418	0.5706630053
419	0.5705367891
420	0.5704034324
421	0.5703112927
422	0.5701802001
423	0.5701628706
424	0.5700309979
425	0.5699280469
426	0.5697443072
427	0.5697098164
428	0.5695524952
429	0.5694060341
430	0.5691972122
431	0.5690759431
432	0.568905729
433	0.5686866325
434	0.5685816421
435	0.5684918671
436	0.5684606674
437	0.5684262919
438	0.5683404726
439	0.5681965754
440	0.5681721817
441	0.5681287229
442	0.567756553
443	0.5677410831
444	0.5676051025
445	0.5674753481
446	0.5673438124
447	0.5671905478
448	0.5671500752
449	0.5670954575
450	0.5670452133
451	0.5669543286
452	0.5669462362
453	0.5668626374
454	0.5666863828
455	0.5666199229
456	0.5665822438
457	0.5664645339
458	0.566425232
459	0.5663857435
460	0.5663758281
461	0.5662846493
462	0.5662360233
463	0.566157973
464	0.5661131249
465	0.5660558634
466	0.5660485432
467	0.5660121343
468	0.5659949149
469	0.5659575846
470	0.5657967595
471	0.5656738729
472	0.5655225266
473	0.5655123424
474	0.5654048233
475	0.5652098845
476	0.5650259955
477	0.5650067366
478	0.5649547248
479	0.5649258049
480	0.5648817769
481	0.5647570367
482	0.5646013985
483	0.5644484888
484	0.564421189
485	0.5642055305
486	0.5640454191
487	0.5640267782
488	0.5637807608
489	0.5637746013
490	0.5636890532
491	0.5634550755
492	0.5633737836
493	0.5633037618
494	0.5632850275
495	0.5632085994
496	0.5630645856
497	0.56266567
498	0.5626135256
499	0.5625196012
500	0.5623174356
501	0.5622915347
502	0.5622527406
503	0.5622093648
504	0.5619727237
505	0.5618053547
506	0.5617043226
507	0.5615609292
508	0.5615357846
509	0.5613510984
510	0.5611860342
511	0.5611455531
512	0.5611313376
513	0.5611096062
514	0.5610285555
515	0.5607293622
516	0.560629968
517	0.5605761263
518	0.5604570862
519	0.5602968815
520	0.560247111
521	0.5602208461
522	0.5599667511
523	0.5599572044
524	0.5599339795
525	0.5598032815
526	0.5597107157
527	0.5596045012
528	0.5593298674
529	0.5592273224
530	0.5590647807
531	0.5590356889
532	0.5589682089
533	0.5587613904
534	0.5585898605
535	0.5585391273
536	0.5585153677
537	0.5584565333
538	0.5583710146
539	0.5582726523
540	0.5582093636
541	0.5580935264
542	0.5578935996
543	0.5575988963
544	0.5574599486
545	0.5574260067
546	0.5573228076
547	0.5572911168
548	0.5571514527
549	0.557098237
550	0.5570254321
551	0.5569549839
552	0.5569113083
553	0.5568117423
554	0.5567162381
555	0.556483378
556	0.5562732977
557	0.5562054266
558	0.5560730585
559	0.5560628978
560	0.5558703901
561	0.5558509009
562	0.5558176659
563	0.5557540583
564	0.5555196711
565	0.5553716182
566	0.5553203503
567	0.5552486893
568	0.5551076867
569	0.5550786151
570	0.5550152985
571	0.5550008791
572	0.5549935258
573	0.5548894313
574	0.5545681716
575	0.5543030886
576	0.5542530184
577	0.5541314955
578	0.5540753396
579	0.5538955182
580	0.5538725056
581	0.5537238308
582	0.5533452217
583	0.5533388484
584	0.5532093887
585	0.5530789787
586	0.5530586259
587	0.5529119349
588	0.5528664647
589	0.552790527
590	0.5527826985
591	0.5525582826
592	0.5523948931
593	0.5523139338
594	0.5521738655
595	0.5520533428
596	0.5519723879
597	0.5519663855
598	0.5518420874
599	0.5517942638
600	0.5516202672
601	0.551337062
602	0.5513228182
603	0.5512506955
604	0.5509535171
605	0.5509400149
606	0.550771283
607	0.5506051845
608	0.5505905852
609	0.5505727598
610	0.5502060596
611	0.5498981207
612	0.549890721
613	0.5498610764
614	0.5497144026
615	0.5495261737
616	0.5495117539
617	0.5494322586
618	0.549178979
619	0.5490858366
620	0.5489596037
621	0.548803319
622	0.5486964815
623	0.5485472848
624	0.5485347223
625	0.5483116349
626	0.5482595073
627	0.5481582391
628	0.5481469119
629	0.54780111
630	0.5477406711
631	0.5476784383
632	0.5475959544
633	0.5475656693
634	0.5473201148
635	0.5472781805
636	0.5469325779
637	0.5468825413
638	0.5467395529
639	0.5467273751
640	0.5465974166
641	0.5462820532
642	0.5461663467
643	0.5460618107
644	0.546048941
645	0.5457400567
646	0.545496445
647	0.5454216802
648	0.5453608969
649	0.545353739
650	0.5451482448
651	0.5450739083
652	0.5450096356
653	0.5449236455
654	0.5447400656
655	0.5446692563
656	0.5445457102
657	0.5444728979
658	0.5444558749
659	0.5444229903
660	0.5441535726
661	0.54394733
662	0.5438035066
663	0.5436755077
664	0.5435063449
665	0.5433956008
666	0.5433071774
667	0.5432869701
668	0.5432392664
669	0.5430680367
670	0.5428866551
671	0.5428452786
672	0.5426019855
673	0.5423747985
674	0.5422196245
675	0.5421948346
676	0.542063197
677	0.541950638
678	0.5418782596
679	0.5416860662
680	0.5416738108
681	0.5416030874
682	0.5413196103
683	0.5412117646
684	0.5411921285
685	0.5411872754
686	0.5411205157
687	0.541078396
688	0.5410192236
689	0.5407893743
690	0.5407140665
691	0.5405212403
692	0.5403319469
693	0.5402087473
694	0.5400442321
695	0.5397718976
696	0.5396476586
697	0.5394424945
698	0.5393855097
699	0.5392511727
700	0.5390107717
701	0.5387735171
702	0.538342674
703	0.5382745707
704	0.5382222362
705	0.5381996255
706	0.5381466988
707	0.5379575405
708	0.5377122226
709	0.537673108
710	0.5376529413
711	0.537436706
712	0.5374323161
713	0.5373469458
714	0.5372472883
715	0.5372383223
716	0.537120959
717	0.53693786
718	0.5368263643
719	0.5367406405
720	0.5366838539
721	0.5365634293
722	0.5362868319
723	0.5362184644
724	0.5361373322
725	0.5357621942
726	0.5357361343
727	0.5354572185
728	0.5353174051
729	0.53514437
730	0.5349519188
731	0.534750352
732	0.5347269005
733	0.5346705856
734	0.5346392652
735	0.534584812
736	0.5345225966
737	0.5343919221
738	0.5343740304
739	0.5342423774
740	0.5342370659
741	0.5340707311
742	0.5339227144
743	0.5338117166
744	0.5337835911
745	0.5336569529
746	0.5333801159
747	0.5333478957
748	0.5332923771
749	0.5330037639
750	0.5327018434
751	0.5326641841
752	0.5326588296
753	0.532355906
754	0.5321904244
755	0.5321149002
756	0.5321022235
757	0.5320558311
758	0.5319858455
759	0.5319195926
760	0.5319136329
761	0.5318860147
762	0.5317691786
763	0.5316774087
764	0.5316353432
765	0.5315538611
766	0.5314905178
767	0.5313509333
768	0.5311278327
769	0.5308843909
770	0.5307462493
771	0.5307198338
772	0.5306617082
773	0.5304185294
774	0.5302216636
775	0.5299735009
776	0.5298492322
777	0.5297579208
778	0.5296407468
779	0.5295976033
780	0.5295715311
781	0.5295038413
782	0.5293681038
783	0.5292360943
784	0.5290884557
785	0.5290303347
786	0.5287174896
787	0.5285064741
788	0.5283384004
789	0.5283219368
790	0.5282212847
791	0.5280436565
792	0.5279462727
793	0.5278789425
794	0.527811912
795	0.5277135959
796	0.5275805031
797	0.5273313788
798	0.5271761466
799	0.5271609537
800	0.5270371507
801	0.5268174372
802	0.5267070486
803	0.5265215206
804	0.5264673428
805	0.5264445439
806	0.5263359903
807	0.5261896255
808	0.5261501099
809	0.5261189167
810	0.5261076412
811	0.5259972008
812	0.5259499413
813	0.5258594322
814	0.5258314187
815	0.5256949693
816	0.5256169984
817	0.5255413651
818	0.5255339902
819	0.5253476064
820	0.5252525515
821	0.5251320008
822	0.5249942488
823	0.5249878597
824	0.5246936381
825	0.5246553278
826	0.5245974036
827	0.5245704835
828	0.5244644955
829	0.5244409798
830	0.5243661285
831	0.524205497
832	0.5240665469
833	0.5239693016
834	0.5237174821
835	0.5235883298
836	0.5234476372
837	0.5234120897
838	0.5229986836
839	0.5229628833
840	0.5229337207
841	0.5227810212
842	0.522683115
843	0.5226178695
844	0.5225041175
845	0.5223679534
846	0.5222017845
847	0.5221493067
848	0.5220240328
849	0.5219670392
850	0.5216759725
851	0.5215176765
852	0.5214592957
853	0.5213013833
854	0.5210613648
855	0.5209234969
856	0.5209155277
857	0.5208783274
858	0.5207239455
859	0.5206238253
860	0.5205947866
861	0.5202198594
862	0.5200455484
863	0.5199485545
864	0.5197023102
865	0.5196261595
866	0.5195534126
867	0.5194530421
868	0.5194330258
869	0.5193665505
870	0.5190169152
871	0.518999193
872	0.5188327831
873	0.5186856732
874	0.5185791354
875	0.5184689536
876	0.5183912211
877	0.5181854755
878	0.5180672786
879	0.5180123192
880	0.517844639
881	0.5176993451
882	0.5175780791
883	0.517386323
884	0.5170125063
885	0.5170049988
886	0.516909368
887	0.5166888237
888	0.5164631561
889	0.5162776615
890	0.5162590386
891	0.5161214566
892	0.5159176748
893	0.5156361468
894	0.5154880399
895	0.515383906
896	0.515297634
897	0.5151667912
898	0.5150160782
899	0.5149697381
900	0.5147973599
901	0.5147693344
902	0.5147629022
903	0.5147022747
904	0.5146906054
905	0.5145049775
906	0.5144643203
907	0.5142012662
908	0.5140308289
909	0.5139822821
910	0.5137649494
911	0.5137122861
912	0.5134786672
913	0.5133532302
914	0.5132032744
915	0.5131200938
916	0.5130633171
917	0.5129475558
918	0.5128107531
919	0.512779649
920	0.5126546599
921	0.5126381025
922	0.5125868799
923	0.5124149287
924	0.5122959067
925	0.512250813
926	0.512240806
927	0.5121682552
928	0.5117719381
929	0.5117659116
930	0.5115823398
931	0.511447044
932	0.5113100064
933	0.5112202067
934	0.5111415526
935	0.5110071016
936	0.5109791549
937	0.5107320319
938	0.5105486641
939	0.5104472658
940	0.5102011439
941	0.5101322132
942	0.5101237673
943	0.5099882842
944	0.5099344134
945	0.5097310879
946	0.5096801888
947	0.5095587214
948	0.5093925955
949	0.5093224953
950	0.5093128144
951	0.5092565664
952	0.5091070265
953	0.5090704048
954	0.5090093454
955	0.5088507665
956	0.5087097565
957	0.5086000967
958	0.5084211058
959	0.5082434565
960	0.5081178846
961	0.5080865165
962	0.5077974703
963	0.5077854836
964	0.5076164602
965	0.5075559582
966	0.5073823287
967	0.5073085357
968	0.5072339169
969	0.5072079584
970	0.5071603072
971	0.5071135738
972	0.5070238168
973	0.5069174016
974	0.5068005037
975	0.5067663022
976	0.5067609312
977	0.5065657948
978	0.5064083349
979	0.5062557391
980	0.5061565566
981	0.5061222197
982	0.5059514217
983	0.5058312758
984	0.505823244
985	0.5057334085
986	0.5056141349
987	0.505437419
988	0.505281105
989	0.5050091167
990	0.5047570816
991	0.5045974817
992	0.5045435917
993	0.5044455668
994	0.5043995019
995	0.5043171394
996	0.5042884878
997	0.5041007551
998	0.5040897857
999	0.5039763549
